tas,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
EUR-11_CLMcom-CCLM4-8-17_ICHEC-EC-EARTH_r12i1p1,5.29078496626667,5.17320816920578,4.16716682446575,4.35467858800446,5.79758276465784,5.18004085576644,4.44993639591085,4.69339684210011,5.4193095959153,4.91645136218193,4.77484483898024,5.18106168057501,5.63296101524097,4.8251907516348,4.71248532184548,5.4303216002272,5.39318936920496,6.36847565876734,5.5794997156318,4.60886307966647,5.92159671678919,6.14589739402127,5.10459661013932,6.31552085236781,6.6858199985715,6.56674372508308,6.43376970895529,5.66629284137737,5.99805320096697,6.26691527319543,6.14943349554768,5.76672258962572,5.69653201428457,5.75548297146418,5.56871165659175,6.03477981668043,6.73520872811799,6.94773294564362,5.68302485333287,6.1327130060106,5.90987086551252,6.0717942800559,4.81366803962355,6.47170301380254,8.29809888814263,6.278701321235,6.75589444083702,5.67173880896083,4.84670024784575,6.31967963062549,6.08021095856536,6.34218251951454,6.31797587109104,6.66120390667494,6.17064562046298,6.63059722263233,7.25684414435168,7.02151815095172,6.99017705266342,6.18613313724579,7.59034038435319,6.3200297620625,6.46913331060001,6.71155856307366,7.5722876958707,8.02493222960602,5.60779699789606,6.87780263913497,7.40139164907657,8.30685810547252,8.0714804175532,8.01014123872899,7.43098489556642,6.61691847207741,7.31673354706255,8.76448897297239,7.56743982895028,7.81545975394488,7.34275305521837,7.18814225847468,7.99069971457024,7.66714318052296,8.13445576796463,6.86333317111287,7.06636324471734,8.80513901611529,8.68641601560504,7.75100276490436,9.43472070894762,7.89757977505423,7.19442861230518,8.04018048031069,8.13229800532919,8.31340022105098,8.34810272935732,9.24457935255139,7.97837664945085,8.33400516560578,8.05956766131131,8.94992457816264,9.03598717816933,9.30180236620217,9.15420791184278,9.54611046131569,9.58747388970342,10.3018502633626,9.55733435148907,9.64234773983967,10.6836582697103,9.30552421115856,10.6136982400314,9.5262568655635,9.44254099741749,9.98395669120811,9.34639311191091,9.17081474977958,10.1560586403739,9.64684092719988,10.4995232422257
EUR-11_CLMcom-CCLM4-8-17_MOHC-HadGEM2-ES_r1i1p1,5.29700606550379,4.75982670909544,5.182730311602,4.50882613318268,5.71912593938206,4.85565666159482,5.39457411185192,5.10341055622885,4.23890812670528,6.27497984174693,5.41041043428605,5.20384667378436,4.87907357766108,5.05631916108211,5.70575103430424,5.28745735960859,6.78945961524936,5.19241265985248,5.49432846878584,5.94686291410916,5.48078164732871,5.78506022745434,5.70915226160157,5.04431290810962,5.64873081218125,5.58859075648624,4.66225697868854,5.43948103346758,7.37390347884302,6.042361544985,6.16843954149137,5.57938575255424,5.6522402571369,6.29221395820626,6.25675333030474,5.92899479138883,6.66994506599803,7.02394588237363,6.8747522813563,7.42558207716627,7.45851763660748,6.75079024749277,6.761743102201,7.44550865158281,7.52777401978842,7.24192052974438,5.72539883957298,7.20715108280362,6.7941494069008,6.84035229141779,6.78744204296134,7.05887318073631,6.33108865113136,8.3754449412499,6.95277296838457,6.61874512126176,7.31294059599894,7.43147957201033,7.36075408546162,7.75332370361118,9.00514773403284,7.6589053511736,8.77989478638222,7.89083386684028,6.45171908372012,6.74360599324108,7.07133889791133,6.82421976465916,8.06814059423352,7.57468141287689,7.99793537493553,8.83135594290488,9.16198394001641,8.39258798428801,7.61261028689616,7.02005086856226,8.0811687008858,9.99908290957878,9.1406920456845,9.16495153280681,8.7641740403014,9.80199191561165,8.88436789080318,8.58801066531585,7.93720772523146,8.2404353016631,8.66163028699128,10.0642429848024,8.18256901443787,9.36723296271979,10.7243624136149,9.22220807814035,8.43773450376893,10.7249345112697,9.71471341456565,9.60415730837342,10.0229790502881,9.58880618140093,10.1716420537086,11.0670877235403,10.3649429626436,9.9026739189348,11.2680065244097,10.4096239511407,10.1214648150149,9.8460686844209,11.3762377488121,12.7469282164949,11.3745991618728,10.2968426574648,12.5243399182506,11.910620367513,9.05748563923564,11.5350899571151,10.7681717176858,11.0182953955053,11.8584857970321,10.3261709138419,10.9936379325976
EUR-11_CLMcom-CCLM4-8-17_MPI-M-MPI-ESM-LR_r1i1p1,6.06468028834517,5.74257425656953,4.62702940491936,4.12966784635367,5.58079769204737,5.8972656734618,5.91911942088291,5.30516838764893,5.16576204181549,5.11250961133588,5.16772976869121,4.85597518778618,4.65514062916913,5.47257645961121,5.39947532341413,4.79783482706501,5.23706685796591,6.41687725494566,6.14928541514239,7.0657605009739,5.36124343818475,5.3401745717816,6.10420195615646,5.43689509633082,4.91072612355178,5.16126724372759,4.68994951862476,6.10279133586386,6.38965680879661,6.04316367369202,5.65816041984525,6.72269218320096,4.66866121390879,5.28732932066207,7.26911279565566,6.22896285470151,7.01534379537878,6.41215041500289,6.32648341408483,5.76804641608223,5.36564277921471,5.87116562731934,5.34631445955126,4.62939743798342,6.15522683541463,7.00678747207655,6.15331719845267,6.79565567998794,6.39388345713902,6.13019998944235,6.16886583265357,6.86252741237787,5.93917381374613,7.28500757185035,6.74290571629459,6.8063000351573,5.37676315690712,7.19341189596545,6.08953460990364,5.76467173101139,6.80645310103957,7.15286837147981,7.40982840698332,7.28187999186976,6.58218000235302,6.4186789957621,6.66182499318682,6.68874185190066,5.98404560316392,7.37153380711323,6.86376682846447,6.11372489627425,7.7093489941376,7.78009155260901,8.1748345284072,7.49121162445794,7.96571417338114,7.07835652404847,8.46491745310997,8.62524093730073,7.40768823061383,7.55571616567511,7.8489380817905,7.77323816627752,7.11041074084619,7.45791414897834,7.91959030208392,7.64243079355068,8.31706991034487,8.45153256664154,7.99697571295692,8.82870443969026,8.35920914196181,7.55887596116563,8.24557481046782,8.45132435013701,8.46302145237992,7.89793734316801,8.33991690791339,8.1607371642721,7.98025497804216,8.89089006765689,8.67194584348981,8.82764334305448,10.7237962915814,10.3290021796449,9.45781383806304,9.5632002714658,9.56628224942291,9.02892897640655,9.63057764651047,9.44433291342083,10.1757457007212,9.4432525320424,8.65717629309417,9.69814174998306,9.07787356246681,9.15787837537246,9.62568592125936
EUR-11_DMI-HIRHAM5_ICHEC-EC-EARTH_r3i1p1,4.32452317358826,5.97677648098533,5.38435585399081,4.24140454442698,5.23918667906441,4.88388484341164,5.31132191793764,5.73084905919059,6.55254912863034,5.04149782765079,5.45801391623112,4.52200311242081,6.71484126054983,5.58934996683985,4.52317534745548,5.64618536378163,4.6682070876567,5.44107030761879,5.8013685954351,5.8016430299729,5.9699711388431,4.96358157983839,5.70763892292029,6.67944437138909,5.95896611183014,6.09831295753018,5.50822293561426,4.62957316004425,5.62979247596961,5.90679251657206,6.05088175323465,5.69403742839279,5.20346410487872,5.95961699398382,6.42941031545976,5.45300151080791,6.8266457447493,7.0198181464911,4.91252036109154,5.54138958015814,6.66204501369495,6.09996760237579,6.13674972800299,5.93822627855605,6.82208108514633,7.49671813100087,5.64745100600684,6.06371734420909,5.92422196744938,5.71389364140457,6.61963016925054,5.89286529531971,7.53436979219137,6.961404106857,6.9848833587086,7.17651380843464,6.52446784028325,8.48514641877493,6.55581835937299,5.94025809849901,6.43025124584446,7.80043899490393,6.70923028576469,5.69624014294183,6.64031326654004,7.34599832231027,6.87220369984472,6.39446610644739,6.00349733095422,6.37178266755766,7.14802830341945,8.08379780555721,7.43107035886578,8.38673096323577,7.5208343109688,7.28493164932637,7.61736405949126,6.63532260915198,7.26083015426673,7.32249598127599,7.93106273201077,7.18215216983014,8.44800670865935,7.90345862774415,7.45365985772108,6.53607414273304,7.89336000234035,8.50172934591281,7.97040086459812,7.34460148170241,7.8127008663284,8.50895440691194,7.16424520570253,7.8921072131096,8.04082427167424,9.14643825133489,8.05971188123243,8.67986557366404,9.59989016643039,8.90514089677144,8.55989813742722,8.4117886511613,8.30233880998278,9.22437012564735,8.10828480633171,9.69706944420991,9.91896436962758,8.73525122362909,8.85851541269371,10.2063978540659,9.47585137383911,9.34268024264785,8.56185892446261,10.4365906807732,9.81962740952213,9.13003107843665,8.57308010280458,9.45899802183191,9.8977123828772
EUR-44_ICTP-RegCM4-3_MOHC-HadGEM2-ES_r1i1p1,4.77472154763132,5.05138253385101,4.95229489689472,5.65948135073568,5.87048757459211,5.25192064019977,4.48665255149864,4.94797036904596,4.59752509302998,5.7872829138471,6.45549005711511,5.27481999470824,5.65955557687995,5.44524839038899,5.00166240079356,5.4386452234036,6.85710249995661,4.71587181725584,5.85725371816121,6.05211054865169,5.64812085594663,5.2711163163967,5.54202634737128,4.95052966760032,5.27125640776825,5.19074094618665,4.51171720069185,5.58624645153354,6.11227720889436,6.3941428059422,5.832043345237,4.91704435920679,4.3365407726484,7.10412497532323,5.87960974621782,5.66238525659932,6.49628052697335,8.22171785641084,6.68963899962722,6.7028895135959,6.58428403187157,5.63016816777069,6.82759679973848,8.63448550457166,6.30679060121579,6.42599864150547,5.47798702130291,6.52654767609277,7.20811021788857,6.75891105004491,7.26186373385609,6.8214858479111,7.34963768432924,6.89404936804634,6.74096006364328,6.65719370774976,7.8331944794559,6.82504814689046,6.941967054009,8.10634991157202,8.43912346745145,7.71865926240487,8.09516068681588,7.47764579556318,5.7072170748657,7.23468771905164,7.23259057419801,7.12186488346517,7.68841441275875,6.56102459269105,6.80131484068815,8.50861584282051,8.79680039977657,8.40251100995049,7.95329805451671,5.73177726696322,7.82190918151347,9.34656594884213,8.74475944149484,9.43871992758101,9.17519874692574,9.3987502678893,9.27302194970252,8.27614083256083,7.62916188381279,7.89547909450083,9.05755325742718,9.85625879788259,8.11883977866917,8.48393454298476,10.0577564449341,8.48709903055868,9.51656176598912,10.87884692643,8.99117116614143,8.85591529190194,9.69578865275198,10.281394313047,10.8411186317717,9.92332830750048,9.29312717123432,10.594029407429,10.8893397950582,9.87142867393909,9.79114165910207,9.40775083414879,10.1528222218216,12.149009072219,10.4933667249511,9.59770599024816,11.7713832596134,11.9175037548884,9.16882358539859,11.216703981375,8.91916052861184,11.1536807671919,10.5830684569436,10.3564401534449,10.2038684646297
EUR-44_KNMI-RACMO22E_ICHEC-EC-EARTH_r1i1p1,5.41384073472782,5.11404875743898,4.79642984659535,4.84636914104764,5.14029205086301,4.19036558407797,5.06537402878062,4.47986000234463,5.97994530788281,5.68349484633624,5.48804904062259,4.31758938694825,4.80135003030036,4.86880463133017,6.32952315568919,6.0428953459349,5.65434563699392,5.89047017199511,4.77431856065176,6.76054128813945,4.53453219757468,5.69105430070288,6.60389570744702,5.81905789811642,5.65384086679352,5.25886917837236,6.30183012420108,6.38664775485198,5.81292245440356,5.25307713701332,6.3491953848985,5.34810473540137,5.46223742950577,6.06225800286235,5.4940542322288,5.99680844111524,5.32548736725478,7.92960163041712,5.53776620317274,7.36856478294404,5.97331546918057,6.96277138263991,5.68352281423573,5.71162223498219,6.60928293439138,7.22593858686133,7.2759958090769,6.59683331670316,5.54906034838795,6.2028177919917,6.12616011980683,6.24248156071948,6.32118564161634,7.27018466068018,6.3340866952014,6.61993979448898,6.5734310319276,7.02044759009329,7.45435584351634,6.58604532273678,6.09487106307268,7.14017727290815,6.58748998193244,7.96158925734038,6.5938283188768,5.97264991734773,6.33953540532652,6.26156223949387,7.31151188394425,7.27579390914605,7.31018031271845,6.30522767758051,6.9547102534507,7.12044906695015,5.73494958298402,7.77451896584903,8.02428408530513,7.78666175040779,8.00847064407102,8.38775505397257,6.89654297967755,6.74453351405242,7.06191062084743,8.15495371499046,8.05578896910761,8.25333899048605,7.80159262097953,7.7686528559345,8.37685751510844,8.96465222629143,8.29378352388292,7.88066084786343,9.44427096170198,8.3093075396347,7.7858506473939,8.63466855359131,9.98711529492451,8.80104635847556,8.61577486662845,9.76027425452141,8.85721353382927,9.69664843591283,10.0232805710302,9.4939935898088,8.47917750971975,9.25357121988429,8.53386324345538,9.55813567949832,9.10849694265582,9.94539204925877,9.49546073608166,9.86635752741698,10.0045830900787,8.99287361539046,9.18467086210971,9.17711140001892,10.3446450964114,10.2632906237744,10.1352513964378
EUR-44_KNMI-RACMO22E_MOHC-HadGEM2-ES_r1i1p1,4.79685165527647,5.84058132760748,4.50563987944886,4.90849335550987,5.36056279604488,5.91425340980318,5.0219578378697,5.34400482822787,5.7932601656164,5.94818911850017,5.15505933645813,4.88178422649514,4.58509628749432,4.78396361575496,5.53575412984289,5.68572877370393,6.05945323417469,5.3605078748111,5.78221229312772,5.94516460114045,5.25127827268705,5.24759106825567,5.56347755106903,5.22621739129718,5.29395674559439,5.80203365401943,4.97358145297449,5.50254249264869,7.02083599664534,6.41185271968248,6.01681086753882,5.6189479884472,5.1301641482485,6.77843367277084,5.89311751541247,5.4357065876835,6.56515462772049,8.0794053734276,6.88930411847261,6.67346142446265,7.27909943885464,5.88249685648526,6.1027164055072,8.18221497447311,7.40741543604284,6.7348977113223,5.83349451742334,6.8523207104612,7.64493122905364,6.86467870113883,7.18099240150998,6.8889726280105,6.65980489401589,8.10494066261049,6.8196164703737,6.12792461698477,7.28050507604808,7.14607825500271,7.65325784209434,7.72478964554285,8.69119291761094,7.73977112398494,8.24712351198774,7.62062184102181,5.98610224325539,7.02680294172595,6.8868796395526,6.42363228186116,7.57514822737407,8.20174057230149,8.26271503184954,8.84206454121995,8.91052221788599,8.1735407953595,7.286864956712,6.79508734573418,7.77516364274766,8.99026752878627,8.83645085135839,9.40864374182727,8.73440070642776,9.15018253491655,8.71163937083617,8.2198194422664,8.82307946503295,7.94458008978975,8.49837543263592,9.5080091416172,8.12468281438917,8.94666892457254,10.0599204865801,7.88650975531447,8.32934924124028,10.6713374609461,10.1300574203112,8.76063244689777,9.1208414039619,9.15077666807642,10.1598243557136,10.4367554514289,10.4461145870715,11.1155290328218,11.619214420545,10.9946828830845,9.83935167332052,9.96732512330942,10.7842423437741,12.3383734822927,11.312863749683,9.87043703624585,12.6306878503993,11.9367409217758,10.1824160475167,11.3739329273378,10.4787610838193,11.4596641495845,12.128888643691,10.6953538556558,11.2053535836988
EUR-11_MPI-CSC-REMO2009_MPI-M-MPI-ESM-LR_r2i1p1,5.79669622181478,5.39537521725285,4.87586597521844,6.01176426118999,5.27764348401697,4.08605906613518,5.54981061487919,5.61166754791866,5.28781678784362,6.00295233406081,4.29974634995659,4.88575028561164,4.89501814190073,5.58340823350225,5.54117118618105,4.92775107328781,6.24887873091284,5.65943210722831,5.70892550022814,5.08293729613017,4.31232063802961,6.21434166729782,4.79724503222859,5.34352159832644,6.24361072312375,6.34706666396496,7.12404474761957,5.49339612011917,5.17454179311689,6.01841904907602,5.21113591703963,5.53587830955712,5.11972191750369,6.46846055936168,6.18180280124805,6.77079807979441,6.32687451617479,4.88136925681733,5.36609265024627,6.90312985052739,5.63074139094317,6.32400130346747,6.93714753255968,5.90771076312205,6.31876756693363,5.67710265059045,6.15746155564302,4.04485922929003,5.59810557231765,5.23151738724933,5.51872438822427,7.02676668833522,6.68281826795439,5.76178213275398,6.32400988344869,5.72253410111883,6.07406787587974,6.72536042507274,7.40326317943193,7.23315178809658,6.47269447815905,7.49778432135852,6.69436396279906,6.84652107073971,8.01367426279991,8.06375539415058,6.91522735514778,7.61557552518911,7.72481489078888,7.62959049318564,7.53240241253258,7.09446900209412,6.49878338735123,7.94040140104409,8.02912334268558,8.85838286055568,7.62470132779435,7.08330810233268,6.83962605764523,8.61976772305377,7.63055709025842,8.08984724530277,8.31936363041388,8.401530715586,8.27575353446109,8.23608795594554,8.13783892464669,7.96453920055128,8.60832037297333,7.36646122772688,8.4336543298119,9.38149151241494,9.04685277611739,9.43943565148016,7.74429739189158,7.26449086092324,8.32593362835644,8.52001577276995,8.84849873256288,7.96245029737475,8.88537686139737,8.97639278646409,9.00606356587197,9.6033767304187,8.51536395878486,8.21035677071006,8.89100722894718,8.91204868333492,9.39727985014443,9.13526772733368,9.45722368587775,8.8622645557136,9.28836128763745,9.76911755365306,10.4530864633746,9.20122223788971,10.3755324629003,10.8383844976692,9.26103620759734
EUR-11_SMHI-RCA4_ICHEC-EC-EARTH_r12i1p1,5.00564036481125,5.31206817144446,4.64195840522038,4.92390382941099,6.12396436180205,5.25395313951882,4.81882478686192,4.46503193178182,5.19402135629689,4.67700972126674,5.09472269783981,5.59782736566078,6.35621009031264,4.67610261327627,4.46018254024577,5.53841177394878,5.39070797492974,5.8544766243921,5.5690276664855,4.73684797684892,6.31683091478083,5.40585189013183,5.02074194032153,5.86366792613724,6.73326293639121,6.61852144119668,6.98973752741712,5.015342428367,5.2970548905933,6.33865018933175,6.34054243846314,5.39652513486544,5.34713279994498,6.62406087665196,6.10559473202245,6.19787943685628,7.08940418470234,6.94537522133468,6.30366002094539,6.07634096479361,6.40466742348091,5.79059038032895,5.41596905494943,7.21796265805091,8.64177599531907,6.15307597153182,6.71950967694668,6.28166127940214,5.34278048975458,6.75599817386775,5.84042532449675,6.90867768492768,6.26363580097749,7.65939695451949,6.87839239911372,7.29570402477401,7.8399070642431,6.77183649990339,7.60545848999881,6.42876710158576,7.72894232137633,7.2965958404809,7.45632035742831,6.43091621769745,8.21150320824284,8.12122527442876,6.97190048321558,7.04654563862008,8.20607016648318,9.07559295057751,8.91926966941896,9.24005375542332,7.90632899127647,7.51073887026484,8.07274795603621,9.83333951191393,8.13946391714978,8.33996305929134,8.60503552827768,8.13723836703328,8.18881509500689,7.69498388353999,9.21849257333948,7.52335144073998,7.29738052187193,9.31051507308286,9.48021596113381,8.85651681975032,11.2639000376287,9.72620579818476,8.18321721643803,9.01589698129731,8.97584353310843,8.59554847651294,8.86919501097873,10.7021667540993,8.8299069187294,8.9474206615148,9.17883454513555,10.2963317941547,10.7484759228125,9.75062330596515,10.0266287184883,9.86158742154903,9.95347824902706,11.6223379944621,10.8263465991889,10.2805748196467,11.6193308418392,10.3297699616087,11.6733730814033,11.0681516473835,10.6020248602845,11.5553129649355,10.9637236741248,10.4006896755262,11.2706053859957,11.6440098852166,11.549043493061
EUR-11_SMHI-RCA4_IPSL-IPSL-CM5A-MR_r1i1p1,5.67758971761768,4.75896695746204,5.97876403404021,5.32847942546313,5.42719896152117,3.92266782825922,4.84369529874693,5.76447597874753,4.79338692594085,4.88820918263386,5.08806505119674,4.77563770229626,3.74195880229381,6.59823179937827,4.69646804041033,5.92715383341914,4.11180110644333,5.49176315970735,6.05723752258073,6.87209884522669,5.46667556525046,5.51719770856184,4.59256966610453,6.32841263825771,5.98628509302277,5.75207130853799,5.06559782659446,6.85221468414197,5.62226217284284,7.0566546149367,6.73458322873285,6.43034040872376,5.27293517048193,5.69983321584415,6.49456595822132,6.414660406041,6.39383808197712,6.09757789495638,6.5304940731399,6.80659412047045,6.60739363473414,6.41443661313996,6.47625601013918,6.78389062404543,6.83365901827545,5.80490619987033,5.72433474788246,6.82276667792511,6.8563567580985,6.93276914253473,5.62885855884938,7.49891309514451,6.66437031722123,7.5445498241652,6.52315012244529,5.93025914963802,6.66213001322384,7.51261179222772,6.09333216949761,7.20041835169095,7.67187237824552,6.54125483478832,7.36137082527881,8.24795185772931,6.91543420818401,8.13971213152062,5.66445294871451,7.18757370426237,7.67733849509651,8.64263048596061,9.31650845826593,8.45108134901617,7.09854835266949,8.06307860319417,8.48603028720779,8.63481003420866,10.0547516401515,9.15943342396501,8.9263693721087,8.87512836520558,8.57806817427963,9.36048868248555,8.05786493314934,8.83493073537575,8.76910674352762,9.55980590853217,9.57138733164224,11.0400976730154,9.6659209268953,9.19651827564811,9.36627634134322,9.73646636260717,10.5311835579374,10.3641601363341,9.19880096702566,9.83357148634514,11.417573023693,9.53432169311223,10.2097052780303,11.462217728098,10.6829131899084,9.65429953105475,10.7069826286588,9.99930498389389,11.1127127736873,11.8456707702713,10.4290746795865,9.70729320799509,11.6061439453742,10.4069447243736,11.0896914209405,9.92664207745199,11.0922441447036,10.2523066406377,10.971680851591,10.413128634904,12.5992382658416,12.4182431568717,11.0686102092905
