Artname,Abflugszeitraum,Ankunftszeitraum,zieht nach,Brutvogel,Durchzuegler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher,avg_comf_temp_low,avg_comf_temp_high,Season,Nahrung,Bild_pfad,zug_pfad
Weissstorch,Oktober,März,"Sahel und Ost-bis Südafrika",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,29,Frühling - Sommer,"Insekten, Kleinsäuger, Amphibien, Würmer","Daten/Bilder/vögel/Weissstorch_Bild.jpeg","Daten/Bilder/zug/Weissstorch_Zug.png"
Mauersegler,September,Mai,Südlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,13,28,Sommer,"Insekten, Spinnen","Daten/Bilder/vögel/Mauersegler_Bild.jpg","Daten/Bilder/zug/Mauersegler_Zug.png"
Hausrotschwanz,Oktober,März,West- und Südeuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,7,28,Frühling - Sommer,"Insekten, Spinnen","Daten/Bilder/vögel/Hausrotschwanz_Bild.jpg","Daten/Bilder/zug/Hausrotschwanz_Zug.png"
Rauchschwalbe,Oktober,März,Südlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,28,Frühling - Sommer,"Insekten, Spinnen","Daten/Bilder/vögel/Rauchschwalbe_Bild.jpg","Daten/Bilder/zug/Rauchschwalbe_Zug.png"
Braunkehlchen,Oktober,April,Ost- und Westafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7,28,Frühling - Sommer,"Insekten, Spinnen","Daten/Bilder/vögel/Braunkehlchen_Bild.webp","Daten/Bilder/zug/Braunkehlchen_Zug.png"
Star,November,März,West- und Südeuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,3,25,Frühling - Herbst,"Früchte, Insekten, Samen, Beeren, Würmer","Daten/Bilder/vögel/Star_Bild.jpg","Daten/Bilder/zug/Star_Zug.png"
Buchfink,Oktober,März,West- und Südeuropa,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,6,26,Frühling - Herbst,"Insekten, Samen","Daten/Bilder/vögel/Buchfink_Bild.jpg","Daten/Bilder/zug/Buchfink_Zug.png"
Gartenrotschwanz,Oktober,April,Südlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,8,28,Frühling - Sommer,"Insekten, Spinnen","Daten/Bilder/vögel/Gartenrotschwarz_Bild.webp","Daten/Bilder/zug/Gartenrotschwarz_Zug.png"
Waldschnepfe,November,März,Südwesteuropa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,28,Frühling - Herbst,"Insekten, Würmer","Daten/Bilder/vögel/Waldschnepfe_Bild.jpg","Daten/Bilder/zug/Waldschnepfe_Zug.png"
Bergfink,März,Oktober,Nordosteuropa,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-2,11,Herbst-Frühling,"Insekten, Samen","Daten/Bilder/vögel/Bergfink_Bild.jpg","Daten/Bilder/zug/Bergfink_Zug.png"
Rotkehlchen,November,März,Mittelmeerraum,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3,26,Herbst-Frühling,"Insekten, Spinnen, Beeren","Daten/Bilder/vögel/Rotkehlchen_Bild.jpg","Daten/Bilder/zug/Rotkehlchen_Zug.png"
Goldregenpfeifer,März,November,Skandinavien,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-4,8,Frühling,"Insekten, Krebstiere, Beeren","Daten/Bilder/vögel/Goldregenpfeifer_Bild.jpg","Daten/Bilder/zug/Goldregenpfeifer_Zug.png"
Alpenstrandläufer,April,September,"Mittelmeerraum, Westeuropa",False,True,True,True,False,False,-2,16,Herbst - Frühling,"Insekten, Würmer","Daten/Bilder/vögel/Alpenstrandläufer_Bild.jpg","Daten/Bilder/zug/Alpenstrandläufer_Zug.png"
Samtente,April,Oktober,"Skandinavien",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,-5,14,Winter - Frühling,"Muscheln, Schnecken","Daten/Bilder/vögel/Samtente_Bild.jpeg","Daten/Bilder/zug/Samtente_Zug.png"
Mönchsgrasmücke,Oktober,März,"West- und Ostafrika",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,28,Frühling - Sommer, "Insekten, Spinnen, Beeren","Daten/Bilder/vögel/Mönchsgrasmücke_Bild.jpg","Daten/Bilder/zug/Mönchsgrasmücke_Zug.png"
Wiedehopf,Oktober,März,"Südlich der Sahara",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,28,Frühling - Herbst,"Insekten, Würmer","Daten/Bilder/vögel/Wiedehopf_Bild.jpg","Daten/Bilder/zug/Mönchsgrasmücke_Zug.png"
