Period,Month,RCP2.6_lower,RCP2.6_medium,RCP2.6_upper,RCP4.5_lower,RCP4.5_medium,RCP4.5_upper,RCP8.5_lower,RCP8.5_medium,RCP8.5_upper
2035,Jan,1.3,1.9,2.3,1.4,1.9,2.3,1.2,2.0,2.3
2035,Feb,2.0,2.8,3.8,2.2,3.1,3.7,2.2,3.3,3.8
2035,Mar,5.0,5.8,6.4,4.8,6.0,6.6,5.2,5.9,6.7
2035,Apr,9.5,10.2,10.9,9.6,10.3,10.7,9.7,10.3,10.8
2035,May,13.7,14.4,14.8,13.9,14.4,14.7,14.0,14.3,14.6
2035,Jun,17.3,18.2,19.1,17.6,18.3,19.0,17.9,18.3,19.2
2035,Jul,19.5,20.2,20.8,19.6,20.2,21.0,19.8,20.4,21.1
2035,Aug,18.9,19.8,20.4,19.0,19.8,20.4,19.3,19.8,21.4
2035,Sep,15.1,15.7,16.7,15.4,15.8,16.8,15.5,16.2,17.1
2035,Oct,10.3,11.0,11.7,10.4,11.0,12.0,10.7,11.4,11.9
2035,Nov,5.2,6.0,7.0,5.4,5.9,6.8,5.9,6.2,7.4
2035,Dec,1.8,2.7,3.2,2.2,2.9,3.6,2.3,3.0,3.5
2060,Jan,2.1,2.7,3.4,2.3,2.7,3.7,3.5,4.5,5.2
2060,Feb,3.0,3.7,4.3,3.1,3.9,4.4,4.4,5.8,6.9
2060,Mar,6.0,6.6,7.2,6.2,6.8,7.7,7.5,8.4,10.1
2060,Apr,10.3,10.8,11.5,11.0,11.5,11.9,11.7,12.7,13.8
2060,May,14.2,14.9,15.5,14.8,15.5,15.9,15.6,16.8,17.7
2060,Jun,18.2,19.0,19.8,18.6,19.8,20.0,19.8,20.6,22.1
2060,Jul,20.3,21.1,22.5,20.9,22.5,22.6,22.3,23.4,25.7
2060,Aug,19.9,20.7,21.3,20.7,21.3,21.8,22.3,22.9,26.4
2060,Sep,16.1,16.9,17.8,16.7,17.8,18.2,18.2,19.2,21.3
2060,Oct,11.4,12.3,12.9,11.6,12.9,13.0,12.7,13.8,15.3
2060,Nov,6.3,7.1,7.5,6.6,7.5,8.2,7.9,8.6,10.0
2060,Dec,3.0,3.7,4.2,3.3,4.2,4.8,4.5,5.3,6.0
2085,Jan,2.0,2.7,3.7,2.7,3.7,4.4,4.5,5.3,6.0
2085,Feb,3.0,3.7,4.4,3.9,4.4,4.9,5.8,6.9,7.5
2085,Mar,5.9,6.6,7.7,6.8,7.7,8.4,8.4,10.1,10.1
2085,Apr,10.4,10.8,11.9,10.9,11.9,12.3,12.7,13.8,13.8
2085,May,14.4,15.0,15.9,15.0,15.9,16.8,16.8,17.7,17.7
2085,Jun,18.2,19.1,20.0,19.0,20.0,20.6,20.6,22.1,22.1
2085,Jul,20.4,21.2,22.6,21.3,22.6,23.4,23.4,25.7,25.7
2085,Aug,19.6,20.5,21.8,20.9,21.8,22.9,22.9,26.4,26.4
2085,Sep,16.1,16.9,18.2,17.0,18.2,19.2,19.2,21.3,21.3
2085,Oct,11.2,12.1,13.0,12.1,13.0,13.8,13.8,15.3,15.3
2085,Nov,6.0,7.2,8.2,6.9,8.2,8.6,8.6,10.0,10.0
2085,Dec,2.6,3.7,4.8,3.4,4.8,5.3,5.3,6.0,6.0
