Artname,Abflugszeitraum,Ankunftszeitraum ,zieht nach,Brutvogel,Durchz체gler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher,avg_comf_temp_low,avg_comf_temp_high,Season
Fluss-regenpfeifer,Juli,Juli,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Flussluftf둯ler,Juli,Juli,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Mauresogler,Juli,Juli,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Fluss-sesschw둨e,Juli,Juli,K체sten in Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Wald-wasserl둼fer,Juli,Juli,Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Schwarzmilan,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Grauschnapper,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
T웤fel-sumpfunktion,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Piroi,August,Mai,Zentral- und S체dafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Kuckuck,August,April,Afrika s체dlich des Aquators,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Weissstorch,August,"August, M둹z","Sahel,  Ost-bis S체dafrika",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Gr웢schenkel,August,August ,Tropsches Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Steinw둳zer,August,"August, April",K체sten und Seen in Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Sichel-strandl둼fer,August,August,K체sten und Seen in Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,18,28,Sommer
Garten-rotschwarz,August,M둹z,Saheizone,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Braunkehlchen,August,April,Ost- und Westafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Trauer-schnapper,August,April,Westafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Fitis,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
Neunt쉞er,August,Mai,Ost- und S체dafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,5,28,Fr웘ling - Sommer
