Artname,Abflugszeitraum,Ankunftszeitraum ,zieht nach,Brutvogel,Durchz체gler,Wintergast,Kurzstreckenzieher,Langstreckenzieher,Teilzieher
 Fluss-regenpfeifer,Juli,Juli,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Flussluftf채hler,Juli,Juli,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Mauresogler,Juli,Juli,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Fluss-sesschw채be,Juli,Juli,K체sten in Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Wald-wasserl채ufer,Juli,Juli,Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Schwarzmilan,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Grauschnapper,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 T체pfel-sumpfunktion,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Piroi,August,Mai,Zentral- und S체dafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Kuckuck,August,April,Afrika s체dlich des Aquators,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Weissstorch,August,"August, M둹z","Sahel,  Ost-bis S체dafrika",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Gr체nschenkel,August,August ,Tropsches Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Steinw채lzer,August,"August, April",K체sten und Seen in Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Sichel-strandl채ufer,August,August,K체sten und Seen in Afrika,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Garten-rotschwarz,August,M둹z,Saheizone,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Braunkehlchen,August,April,Ost- und Westafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Trauer-schnapper,August,April,Westafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Fitis,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Neunt철ter,August,Mai,Ost- und S체dafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Klappe-grasm체cke,August,April,Ostafrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
 Uferschwalbe,August,April,Sahel und Ostafrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Garten-grasm체cke,August,Mai,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Wiespenbussard,August,Mai,Tropsches Afrika,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
 Alpensogler,August,September,Tropsches Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Nachtigall,August,April,Tropsches Afrika,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Rauchschwalbe,August,M둹z,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Wiesenweihle,August,April,S체dlich der Sahara,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Zwerg-strandl채ufer,August,N/A,S체dlich der Sahara bis Indien,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
 Wachtel,August,April,Saheizone,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Wendehals,August,April,"Sahel,  Mittelmeerraum",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Schafstelze,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Turteltaube,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
 Baumpieper,August,April,S체dlich der Sahara,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
